Fri Feb 20 09:26:45 2015    ugzone_profile.txt

         138680 function calls (138637 primitive calls) in 20.005 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.000    0.000 collections.py:54(__setitem__)
       53    0.000    0.000    0.000    0.000 {method '_get_value' of '_multiprocessing.SemLock' objects}
       50    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      102    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
       55    0.000    0.000    0.000    0.000 {min}
        1    0.000    0.000    0.000    0.000 {method 'write' of 'file' objects}
        9    0.000    0.000    0.000    0.000 sre_parse.py:266(_escape)
        8    0.000    0.000    0.000    0.000 urlparse.py:160(_splitnetloc)
        2    0.000    0.000    0.000    0.000 {posix.pipe}
        5    0.000    0.000    0.000    0.000 argparse.py:1029(__init__)
       15    0.000    0.000    0.000    0.000 argparse.py:1448(_check_conflict)
        1    0.000    0.000    0.000    0.000 _abcoll.py:545(update)
       20    0.000    0.000    0.000    0.000 pickle.py:1178(load_append)
        8    0.000    0.000    0.000    0.000 __init__.py:154(getLevelName)
        3    0.000    0.000    0.000    0.000 argparse.py:2252(_get_value)
        1    0.000    0.000    0.000    0.000 codecs.py:77(__new__)
        3    0.000    0.000    0.000    0.000 argparse.py:2055(_parse_optional)
        1    0.000    0.000    0.000    0.000 argparse.py:205(format_help)
        6    0.000    0.000    0.000    0.000 {_sre.compile}
       72    0.000    0.000    0.000    0.000 UserDict.py:70(__contains__)
       21    0.000    0.000    0.000    0.000 pickle.py:870(marker)
       34    0.000    0.000    0.000    0.000 sre_parse.py:147(append)
        8    0.000    0.000    0.000    0.000 __init__.py:82(<lambda>)
        8    0.000    0.000    0.000    0.000 weakref.py:267(__init__)
       51    0.000    0.000    0.000    0.000 {posix.WIFSIGNALED}
        8    0.000    0.000    0.000    0.000 weakref.py:262(__new__)
        8    0.000    0.000    0.000    0.000 __init__.py:1339(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 cmd_listzone.py:23(__init__)
        8    0.000    0.000    0.000    0.000 threading.py:1152(currentThread)
       14    0.000    0.000    0.000    0.000 argparse.py:557(_metavar_formatter)
        3    0.000    0.000    0.000    0.000 pickle.py:1122(find_class)
